Title,URL,Authors,Companies,Issues,Sectors,Regions,Countries,Gender,Lawsuit Status
Chiquita lawsuits (re Colombia filed in USA by US nationals),/bhrrc/latest-news/chiquita-lawsuits-re-colombia-filed-in-usa-by-us-nationals/,,Chiquita,Complicity|Deaths|Killings|Security issues & conflict zones: General,Agriculture & livestock,,CO|US,UNKNOWN,CLOSED
Hyderabad Industries lawsuit (re asbestos contamination India),/bhrrc/latest-news/hyderabad-industries-lawsuit-re-asbestos-contamination-india/,,HIL (formerly Hyderabad Asbestos Cement Products (part of CK Birla Group))|Hyderabad Industries Limited,Environment: General|Health: General (including workplace health & safety)|Illness,Mining,,IN,UNKNOWN,OPEN
Intl. Finance Corp. lawsuit (re financing of coal-fired plant in India),/bhrrc/latest-news/intl-finance-corp-lawsuit-re-financing-of-coal-fired-plant-in-india/,,International Finance Corporation,Access to water|Environment: General|Land rights,Finance & banking,,IN|US,UNKNOWN,OPEN
Kewei Tongchuang lawsuit (re labour rights),/bhrrc/latest-news/kewei-tongchuang-lawsuit-re-labour-rights-2/,,Kewei Tongchuang (part of Nelson-Miller),Arbitration|Labour: General,Technology telecom & electronics,,CN,UNKNOWN,CLOSED
ConocoPhillips lawsuit (re oil spill in China filed in China),/bhrrc/latest-news/conocophillips-lawsuit-re-oil-spill-in-china-filed-in-china/,,ConocoPhillips,Access to water|Environment: General|Right to food,Oil gas & coal,,CN,UNKNOWN,OPEN
ConocoPhillips lawsuit (re oil spill in China filed in USA),/bhrrc/latest-news/conocophillips-lawsuit-re-oil-spill-in-china/,,ConocoPhillips,Access to water|Environment: General|Right to food,Oil gas & coal,,CN|US,UNKNOWN,CLOSED
KiK lawsuit (re Pakistan),/bhrrc/latest-news/kik-lawsuit-re-pakistan/,,KiK,Deaths|Health: General (including workplace health & safety)|Labour: General|Supply chains,Clothing & textile,,DE|PK,UNKNOWN,OPEN
BP lawsuit (re Casanare Colombia filed in the UK),/bhrrc/latest-news/bp-lawsuits-re-casanare-colombia/,,BP,Abduction|Beatings & violence|Labour: General|Torture & ill-treatment,Oil gas & coal,,CO|GB,MALE,CLOSED
BP lawsuit (re Casanare Colombia filed in the US),/bhrrc/latest-news/bp-lawsuits-re-casanare-colombia-1/,,BP,Abduction|Beatings & violence|Labour: General|Torture & ill-treatment,Oil gas & coal,,CO|US,MALE,CLOSED
BHP & Vale lawsuit (re dam collapse in Brazil filed in Brazil),/bhrrc/latest-news/bhp-vale-lawsuit-re-dam-collapse-in-brazil/,,BHP|Samarco (joint venture BHP Billiton and Vale)|Vale,Access to information|Access to water|Complicity|Cultural issues|Deaths|Displacement|Environmental discrimination|Environment: General|Gender discrimination|Globalisation|Health: General (including workplace health & safety)|Housing|Impact assessment|Injuries|Intimidation & threats|Intl. Criminal Court|Killings|Labour: General|Lawsuits & regulatory action|Lawsuits & regulatory action: General|Legal accountability|Legal accountability: General|Local & state authorities|Protests|Right to food|Unfair trial|Women,Fishing|Hydropower & dam projects|Mining|Oil gas & coal|Railroad,,AU|BR|US,UNKNOWN,OPEN
BHP & Vale lawsuit (re dam collapse in Brazil filed in Australia),/bhrrc/latest-news/bhp-vale-lawsuit-re-dam-collapse-in-brazil-filed-in-australia/,,BHP,Access to water|Deaths|Displacement|Environment: General,Mining,,AU|BR,UNKNOWN,OPEN
BHP & Vale lawsuit (re dam collapse in Brazil filed in the UK),/bhrrc/latest-news/bhp-vale-lawsuit-re-dam-collapse-in-brazil-filed-in-the-uk/,,BHP|Samarco (joint venture BHP Billiton and Vale)|Vale,Access to water|Deaths|Displacement|Environment: General|Indigenous peoples|Lawsuits & regulatory action: General|Legal accountability: General|Socially-responsible investing & shareholder activism,Hydropower & dam projects|Mining,,BR|GB,UNKNOWN,OPEN
BHP & Vale lawsuit (re dam collapse in Brazil filed in the US),/bhrrc/latest-news/bhp-vale-lawsuit-re-dam-collapse-in-brazil-filed-in-the-us/,,BHP,Access to water|Deaths|Displacement|Environment: General,Mining,,BR|US,UNKNOWN,CLOSED
COMILOG lawsuit (re Gabon filed in France),/bhrrc/latest-news/comilog-lawsuit-re-gabon/,,Compagnie Minière de l'Ogooué (COMILOG) (part of ERAMET),Labour: General|Living wage,Mining,,CG|FR,UNKNOWN,CLOSED
Lawsuit against Electricity Generating Authority of Thailand (re Mae Moh power plant),/bhrrc/latest-news/lawsuit-against-electricity-generating-authority-of-thailand-re-mae-moh-power-plant/,,Electricity Generating Authority of Thailand (EGAT),Environment: General|Health: General (including workplace health & safety),Energy,,TH,UNKNOWN,CLOSED
Danzer Group lawsuit (re Dem. Rep. Congo filed in Germany),/bhrrc/latest-news/danzer-group-lawsuit-re-dem-rep-congo-filed-in-germany/,,Danzer,Beatings & violence|Complicity|Land rights|Rape & sexual abuse,Logging & lumber,,CD|DE,UNKNOWN,CLOSED
Global Horizons lawsuit (re forced labour criminal proceedings),/bhrrc/latest-news/global-horizons-lawsuit-re-forced-labour-criminal-proceedings/,,Global Horizons,Forced labour & modern slavery|Labour: General|Slavery,Recruitment agencies,,US,UNKNOWN,CLOSED
Hershey lawsuit (re child labour in Côte d’Ivoire filed in Massachusetts),/bhrrc/latest-news/hershey-lawsuit-re-child-labour-in-côte-divoire-filed-in-massachusetts/,,Hershey,Child labour|Consumers|Labour: General|Supply chains,Chocolate & cocoa,,CI|US,UNKNOWN,CLOSED
Hershey lawsuit (re child labour in Côte d’Ivoire filed in California),/bhrrc/latest-news/hershey-lawsuit-re-child-labour-in-côte-divoire/,,Hershey,Child labour|Consumers|Labour: General|Supply chains,Chocolate & cocoa,,CI|US,UNKNOWN,CLOSED
Lundin Petroleum lawsuit (re complicity in war crimes Sudan),/bhrrc/latest-news/lundin-petroleum-lawsuit-re-complicity-war-crimes-sudan/,,Lundin Energy,Beatings & violence|Complicity|Killings|Land rights|Security issues & conflict zones: General,Oil gas & coal,,SD|SE,UNKNOWN,OPEN
Mhoney Pty Ltd lawsuit (re underpaid immigrant worker in Australia),/bhrrc/latest-news/mhoney-pty-ltd-lawsuit-re-underpaid-immigrant-worker-in-australia/,,Mhoney Pty Ltd,Health: General (including workplace health & safety)|Labour: General|Living wage,,,AU,MALE,CLOSED
Myanmar Pongpipat lawsuit (re environmental & health impact of Heinda tin mine),/bhrrc/latest-news/myanmar-pongpipat-lawsuit-re-environmental-health-impact-of-heinda-tin-mine/,,Myanmar Pongpipat Co Ltd,Access to water|Environment: General|Health: General (including workplace health & safety)|Illness,Mining,,MM,UNKNOWN,OPEN
Nestlé lawsuit (re forced labour in Thai fishing industry),/bhrrc/latest-news/nestlé-lawsuit-re-forced-labour-in-thai-fishing-industry/,,Nestlé,Forced labour & modern slavery|Labour: General|Supply chains,Food & beverage,,US,UNKNOWN,OPEN
Nevsun lawsuit (re Bisha mine Eritrea),/bhrrc/latest-news/nevsun-lawsuit-re-bisha-mine-eritrea/,,Nevsun (part of Zijin Mining),Forced labour & modern slavery|Health: General (including workplace health & safety)|Intimidation & threats|Labour: General|Torture & ill-treatment,Mining,,CA|ER,UNKNOWN,OPEN
Odebrecht lawsuit (re forced labour in Angola),/bhrrc/latest-news/odebrecht-lawsuit-re-forced-labour-in-angola/,,Odebrecht,Forced labour & modern slavery|Labour: General,Construction,,BR,UNKNOWN,CLOSED
Produkty grocery store lawsuit (re modern slavery in Russia),/bhrrc/latest-news/produkty-grocery-store-lawsuit-re-modern-slavery-in-russia/,,Produkty,Forced labour & modern slavery|Health: General (including workplace health & safety)|Labour: General,Supermarkets & grocery,,FR|RU,FEMALE,OPEN
Samsung lawsuit (re misleading advertising & labour rights abuses),/bhrrc/latest-news/samsung-lawsuit-re-misleading-advertising-labour-rights-abuses/,,Samsung,Child labour|Forced labour & modern slavery|Labour: General|Supply chains,Technology telecom & electronics,,CN|FR,UNKNOWN,OPEN
Shell lawsuit (re oil spills & Bodo community in Nigeria),/bhrrc/latest-news/shell-lawsuit-re-oil-spills-bodo-community-in-nigeria/,,Royal Dutch Shell (Shell),Environment: General|Health: General (including workplace health & safety)|Land rights,Oil gas & coal,,GB|NG,UNKNOWN,CLOSED
Signal International lawsuits (re trafficking of Indian workers in USA),/bhrrc/latest-news/signal-international-lawsuits-re-trafficking-of-indian-workers-in-usa-2/,,Signal International,Arbitrary detention|Forced labour & modern slavery|Health: General (including workplace health & safety)|Human trafficking|Intimidation & threats|Labour: General|Lawsuits & regulatory action: General|Migrant & immigrant workers|Racial/ethnic/caste/origin discrimination|Racial & ethnic groups,Construction|Law firms|Oil gas & coal|Recruitment agencies|Shipping ship-building & ship-scrapping|Welding,,US,UNKNOWN,CLOSED
Tahoe Resources lawsuit (re Guatemala),/bhrrc/latest-news/tahoe-resources-lawsuit-re-guatemala/,,Tahoe Resources (part of Pan American Silver),Access to water|Injuries|Killings|Land rights|Protests,Mining,,CA|GT,UNKNOWN,CLOSED
Lafarge lawsuit (re complicity in crimes against humanity in Syria),/bhrrc/latest-news/lafarge-lawsuit-re-complicity-in-crimes-against-humanity-in-syria/,,Lafarge (part of LafargeHolcim),Complicity|Forced labour & modern slavery|Geneva Conventions / Humanitarian law|Security issues & conflict zones: General,Cement,,FR|SY,UNKNOWN,OPEN
Tonkolili Iron Ore lawsuit (re complicity in violence against villagers in Sierra Leone),/bhrrc/latest-news/tonkolili-iron-ore-lawsuit-re-complicity-in-violence-against-villagers-in-sierra-leone/,,African Minerals|Tonkolili Iron Ore (part of Shandong Iron & Steel Group),Arbitrary detention|Complicity|Deaths|Environment: General|Killings|Land rights|Rape & sexual abuse,Mining,,GB|SL,UNKNOWN,OPEN
Mitsubishi lawsuit (re sexual harassment in USA),/bhrrc/latest-news/mitsubishi-lawsuit-re-sexual-harassment-in-usa/,,Mitsubishi Group,Health: General (including workplace health & safety)|Labour: General|Sexual harassment,Automobile & other motor vehicles,,US,UNKNOWN,CLOSED
TÜV SÜD lawsuit (re role in Brumadinho dam collapse),/bhrrc/latest-news/tüv-süd-lawsuit-re-role-in-brumadinho-dam-collapse/,,TÜV Süd,Deaths|Environment: General,Mining,,BR|DE,UNKNOWN,OPEN
Vedanta Resources lawsuit (re water contamination Zambia),/bhrrc/latest-news/vedanta-resources-lawsuit-re-water-contamination-zambia/,,Konkola Copper Mines (joint venture Vedanta Resources Zambia Copper Investments & ZCCM Investments)|Vedanta Resources,Access to water|Environment: General|Health: General (including workplace health & safety)|Illness|Land rights|Lawsuits & regulatory action: General|Legal accountability: General|Poverty/Development/Economic & social rights: General|Right to food,Mining|Oil gas & coal|Tea,,GB|ZM,UNKNOWN,CLOSED
Nike lawsuit (Kasky v Nike re denial of labour abuses),/bhrrc/latest-news/nike-lawsuit-kasky-v-nike-re-denial-of-labour-abuses/,,Nike,Forced labour & modern slavery|Health: General (including workplace health & safety)|Labour: General|Supply chains,Clothing & textile,,US|VN,UNKNOWN,CLOSED
Workplace exposure to toxic chemicals lawsuit (re Taiwan),/bhrrc/latest-news/workplace-exposure-to-toxic-chemicals-lawsuit-re-taiwan/,,General Electric (GE)|RCA (part of Thomson)|Technicolor USA,,,,TW,UNKNOWN,OPEN
Paladin lawsuit (re Malawi),/bhrrc/latest-news/paladin-lawsuit-re-malawi/,,Paladin Energy,Access to water|Environment: General|Free prior & informed consent|Land rights,Mining,,MW,UNKNOWN,CLOSED
Xayaburi dam lawsuit (re Laos & Thailand),/bhrrc/latest-news/xayaburi-dam-lawsuit-re-laos-thailand/,,Electricity Generating Authority of Thailand (EGAT),Access to water|Displacement|Environment: General|Land rights,Hydropower & dam projects,,TH,UNKNOWN,OPEN
Philip Morris Brasil Souza Cruz lawsuit (re Brazil),/bhrrc/latest-news/philip-morris-brasil-souza-cruz-lawsuit-re-brazil/,,Philip Morris International,Consumers: General|Health: General (including workplace health & safety),Tobacco,,BR,UNKNOWN,CLOSED
Unilever lawsuit (re ethnic violence in Kenya),/bhrrc/latest-news/unilever-lawsuit-re-ethnic-violence-in-kenya/,,Unilever,Deaths|Killings|Labour: General|Racial & ethnic groups|Rape & sexual abuse|Security issues & conflict zones: General,,,GB|KE,UNKNOWN,CLOSED
Volkswagen (re military dictatorship Brazil),/bhrrc/latest-news/volkswagen-re-military-dictatorship-brazil/,,Volkswagen,Beatings & violence|Forced labour & modern slavery|Killings|Labour: General|Slavery,Automobile & other motor vehicles,,BR,UNKNOWN,CLOSED
Syngenta lawsuit (re attack on rural workers in Brazil),/bhrrc/latest-news/syngenta-lawsuit-re-attack-on-rural-workers-in-brazil/,,Syngenta,Complicity|Killings|Land rights,Agriculture & livestock,,BR,UNKNOWN,CLOSED
South African Airways lawsuit (re HIV discrimination),/bhrrc/latest-news/south-african-airways-lawsuit-re-hiv-discrimination/,,South African Airways,Discrimination/diversity: General|HIV/AIDS discrimination|Labour: General,Aircraft/Airline,,ZA,UNKNOWN,CLOSED
Shell lawsuit (re oil spills & Ogale & Bille communities in Nigeria - Okpabi v Shell),/bhrrc/latest-news/shell-lawsuit-re-oil-spills-ogale-bille-communities-in-nigeria-okpabi-v-shell/,,Royal Dutch Shell (Shell)|Shell Petroleum Development Company of Nigeria (SPDC),Access to water|Environmental discrimination|Environment: General|Health: General (including workplace health & safety)|Illness|Lawsuits & regulatory action: General|Legal accountability: General|OECD Guidelines|Right to food|Supply chains|UN Guiding Principles on Business & Human Rights,Oil gas & coal,,GB|NG,UNKNOWN,OPEN
Seafood exporters lawsuit (re human trafficking in Thailand),/bhrrc/latest-news/seafood-exporters-lawsuit-re-human-trafficking-in-thailand/,,Rubicon,Forced labour & modern slavery|Human trafficking|Labour: General|Supply chains,Supermarkets & grocery,,TH|US,UNKNOWN,OPEN
Riwal lawsuit (re separation wall between Israel & Palestine),/bhrrc/latest-news/riwal-lawsuit-re-separation-wall-between-israel-palestine/,,Riwal,Geneva Conventions / Humanitarian law|Land rights|Security issues & conflict zones: General,Construction,,NL|PS,UNKNOWN,CLOSED
PTTEP Australasia lawsuit (re Montara oil spill in Indonesia),/bhrrc/latest-news/pttep-australasia-lawsuit-re-montara-oil-spill-in-indonesia/,,Petroleum Authority of Thailand Exploration and Production (PTTEP)|PTT|PTTEP Australasia|PTT Exploration and Production (PTTEP part of PTT),Environment: General|Lawsuits & regulatory action: General|Legal accountability: General|Poverty/Development/Economic & social rights: General|Right to food,Fishing|Natural Resources: General|Oil gas & coal,Asia & Pacific,AU|ID,UNKNOWN,OPEN
Oxec S.A. lawsuit (re consultation for hydroelectric plants Guatemala),/bhrrc/latest-news/oxec-sa-lawsuit-re-consultation-for-hydroelectric-plants-guatemala/,,Oxec S.A.,Access to water|Environment: General|Free prior & informed consent|Land rights,Hydropower & dam projects,,GT,UNKNOWN,OPEN
Occidental lawsuit (re Achuar communities contamination Peru),/bhrrc/latest-news/occidental-lawsuit-re-achuar-communities-contamination-peru-2/,,Occidental Petroleum,Access to water|Environment: General|Health: General (including workplace health & safety)|Illness,Oil gas & coal,,PE|US,UNKNOWN,CLOSED
Metal Refinery (EPZ) lawsuit (re lead pollution in Kenya),/bhrrc/latest-news/metal-refinery-epz-lawsuit-re-lead-pollution-in-kenya/,,Metal Refinery (EPZ),Environment: General|Health: General (including workplace health & safety)|Illness|Intimidation & threats,Metals & steel,,KE,UNKNOWN,OPEN
Lahmeyer lawsuit (re dam construction in northern Sudan),/bhrrc/latest-news/lahmeyer-lawsuit-re-dam-construction-in-northern-sudan/,,Lahmeyer,Displacement|Free prior & informed consent|Land rights,Engineering,,DE|SD,UNKNOWN,OPEN
IGR lawsuit (re water rights Mexico),/bhrrc/latest-news/igr-lawsuit-re-water-rights-mexico/,,Impulsa Generación Responsable (IGR),Access to water|Land rights,Mining,,MX,UNKNOWN,OPEN
Drummond lawsuit (re paramilitary killings in Colombia filed in the US by children of deceased labour leaders),/bhrrc/latest-news/drummond-lawsuit-re-paramilitary-killings-in-colombia-filed-in-the-us-by-children-of-deceased-labour-leaders/,,Drummond,Deaths|Killings|Labour: General|Security issues & conflict zones: General|Torture & ill-treatment,Oil gas & coal,,CO|US,UNKNOWN,CLOSED
Unocal lawsuit (re Myanmar),/bhrrc/latest-news/unocal-lawsuit-re-myanmar/,,Unocal (part of Chevron),Abduction|Complicity|Forced labour & modern slavery|Killings|Rape & sexual abuse|Security issues & conflict zones: General|Torture & ill-treatment,Oil gas & coal,,MM|US,UNKNOWN,CLOSED
Drummond lawsuit (re complicity in paramilitary killings in Colombia Melo et al. filed in USA),/bhrrc/latest-news/drummond-lawsuit-re-complicity-in-paramilitary-killings-in-colombia-melo-et-al-filed-in-usa/,,Drummond,Deaths|Killings|Security issues & conflict zones: General,Oil gas & coal,,CO|US,UNKNOWN,OPEN
Drummond lawsuit (re paramilitary killings in Colombia criminal proceedings in Colombia),/bhrrc/latest-news/drummond-lawsuit-re-paramilitary-killings-in-colombia-criminal-proceedings-in-colombia/,,Drummond,Deaths|Killings|Labour: General|Security issues & conflict zones: General,Oil gas & coal,,CO,UNKNOWN,OPEN
Lawsuit against Tazreen Fashions (re factory fire in Bangladesh),/bhrrc/latest-news/lawsuit-against-tazreen-fashions-re-factory-fire-in-bangladesh/,,Tazreen Fashions,Deaths|Health: General (including workplace health & safety)|Injuries|Labour: General,Clothing & textile,,BD,UNKNOWN,OPEN
Villaggio Mall lawsuit (re fatal fire Qatar),/bhrrc/latest-news/villaggio-mall-lawsuit-re-fatal-fire-qatar/,,Villaggio Mall,Deaths|Health: General (including workplace health & safety)|Injuries,Consumer products/retail: General|Retail,,QA,UNKNOWN,CLOSED
Drummond lawsuit (re paramilitary killings in Colombia filed in the US by families of deceased labour leaders),/bhrrc/latest-news/drummond-lawsuit-re-paramilitary-killings-in-colombia-filed-in-the-us-by-families-of-deceased-labour-leaders-2/,,Drummond,Deaths|Killings|Labour: General|Security issues & conflict zones: General,Oil gas & coal,,CO|US,UNKNOWN,CLOSED
Vinci lawsuit (re forced labour in Qatar),/bhrrc/latest-news/vinci-lawsuits-re-forced-labour-in-qatar/,,Vinci,Denial of freedom of movement|Forced labour & modern slavery|Labour: General|Lawsuits: SLAPPs,Construction|Construction & building materials: General,,FR|QA,UNKNOWN,OPEN
Vale-BSGR lawsuit (re complicity in violence against villagers in Guinea),/bhrrc/latest-news/vale-bsgr-lawsuit-re-complicity-in-violence-against-villagers-in-guinea/,,Vale,Arbitrary detention|Beatings & violence|Complicity|Injuries|Killings|Lawsuits & regulatory action|Lawsuits & regulatory action: General|Legal accountability: General|Protests|Torture & ill-treatment,Mining,Africa,GN,UNKNOWN,OPEN
Grupo México lawsuit (re toxic spill in Mexico),/bhrrc/latest-news/grupo-méxico-lawsuit-re-toxic-spill-in-mexico/,,Grupo Higa|Grupo México,Access to water|Environment: General|Free prior & informed consent|Health as a human right|Health: General (including workplace health & safety)|Illness|Impact assessment|Judicial system|Labour: General|Lawsuits & regulatory action: General|Poverty/Development/Economic & social rights: General|UN High Commissioner for Human Rights|UN Working Group on business & human rights,Construction|Energy|Mining,,MX,UNKNOWN,OPEN
Gloucester Resources lawsuit (re mine’s impact on climate change Australia),/bhrrc/latest-news/gloucester-resources-lawsuit-re-mines-impact-on-climate-change-australia/,,Gloucester Resources,Climate change|Environment: General|Land rights,Mining,,AU,UNKNOWN,OPEN
Globe Metals and Mining lawsuit (re lack of resettlement & compensation in Malawi),/bhrrc/latest-news/globe-metals-and-mining-lawsuit-re-lack-of-resettlement-compensation-in-malawi/,,Globe Metals & Mining,Displacement|Environment: General|Land rights,Mining,,MW,UNKNOWN,OPEN
Eni lawsuit (re oil spill in Nigeria),/bhrrc/latest-news/eni-lawsuit-re-oil-spill-in-nigeria/,,Eni,Environment: General|Health: General (including workplace health & safety)|Land rights,Oil gas & coal,,IT|NG,UNKNOWN,CLOSED
DuPont lawsuits (re PFOA pollution in USA),/bhrrc/latest-news/dupont-lawsuits-re-pfoa-pollution-in-usa/,,DuPont,Access to water|Environment: General|Health: General (including workplace health & safety)|Illness,Chemical: General,,US,UNKNOWN,OPEN
Red Lands Roses lawsuit (re Kenyan workplace injury),/bhrrc/latest-news/red-lands-roses-lawsuit-re-kenyan-workplace-injury/,,Red Lands Roses,Health: General (including workplace health & safety)|Labour: General,Flower,,KE,UNKNOWN,CLOSED
China Communication Construction Company lawsuit (re HIV/AIDS discrimination Uganda),/bhrrc/latest-news/china-communication-construction-company-lawsuit-re-hivaids-discrimination-uganda/,,China Communications Construction Company Limited (CCCC),Health: General (including workplace health & safety)|HIV/AIDS discrimination|Privacy,Construction,,UG,UNKNOWN,OPEN
Costco lawsuit (re slave labour in Thailand),/bhrrc/latest-news/costco-lawsuit-re-slave-labour-in-thailand/,,Costco,Forced labour & modern slavery|Labour: General|Slavery|Supply chains,Food & beverage,,TH|US,UNKNOWN,CLOSED
California communities’ lawsuit against 37 fossil fuel companies (re climate change compensation),/bhrrc/latest-news/california-communities-lawsuit-against-37-fossil-fuel-companies-re-climate-change-compensation/,,BP|Chevron|ConocoPhillips|Eni|Equinor (formerly Statoil)|ExxonMobil|Marathon Oil|Marathon Petroleum|Occidental Petroleum|Pemex|Royal Dutch Shell (Shell)|Total,Climate change|Environment: General|Local & state authorities,Cement|Oil gas & coal,,US,UNKNOWN,OPEN
Titan Cement lawsuit (re air pollution Egypt),/bhrrc/latest-news/titan-cement-lawsuit-re-air-pollution-egypt/,,Titan Cement,Environment: General|Health: General (including workplace health & safety),Oil gas & coal,,EG,UNKNOWN,CLOSED
Imperial Pacific International lawsuit (re forced labour and human trafficking Saipan USA),/bhrrc/latest-news/imperial-pacific-international-lawsuit-re-forced-labour-and-human-trafficking-saipan-usa/,,Gold Mantis|Imperial Pacific International,Forced labour & modern slavery|Health: General (including workplace health & safety)|Human trafficking|Labour: General|Living wage,Hotel,,US,UNKNOWN,OPEN
Formosa Plastics lawsuit (re marine pollution in Vietnam filed in Vietnam),/bhrrc/latest-news/formosa-plastics-lawsuit-re-marine-pollution-in-vietnam-filed-in-vietnam/,,Formosa Plastics,Environment: General|Poverty/Development/Economic & social rights: General,Metals & steel,,VN,UNKNOWN,CLOSED
Formosa Plastics lawsuit (re marine pollution in Vietnam filed in Taiwan),/bhrrc/latest-news/formosa-plastics-lawsuit-re-marine-pollution-in-vietnam-filed-in-taiwan/,,Formosa Plastics,Environment: General|Poverty/Development/Economic & social rights: General,Metals & steel,,TW|VN,UNKNOWN,OPEN
Gun industry lawsuit (re Sandy Hook shooting in USA),/bhrrc/latest-news/gun-industry-lawsuit-re-sandy-hook-shooting-in-usa/,,Bushmaster Firearms International LLC|Remington Outdoor,Deaths|Killings,Arms/Weapons,,US,UNKNOWN,OPEN
Total lawsuit (re climate change France),/bhrrc/latest-news/total-lawsuit-re-climate-change-france/,,BP|Chevron|ConocoPhillips|ExxonMobil|Royal Dutch Shell (Shell)|Total,Climate change|Company policies: General|Company reporting: General|Environment: General|General business & human rights|Indigenous peoples|Lawsuits & regulatory action: General|Legal accountability: General|Local & state authorities|Mandatory Due Diligence (mHRDD)|Socially-responsible investing & shareholder activism|Women,Nuclear energy|Oil gas & coal|Renewable Energy,,FR,UNKNOWN,OPEN
Indesit lawsuit (re Poland),/bhrrc/latest-news/indesit-lawsuit-re-poland/,,Indesit,Deaths|Health: General (including workplace health & safety)|Labour: General,Electrical appliance,,PL,UNKNOWN,OPEN
Total lawsuit (re failure to respect French duty of vigilance law in operations in Uganda),/bhrrc/latest-news/total-lawsuit-re-failure-to-respect-french-duty-of-vigilance-law-in-operations-in-uganda/,,Total,Access to water|Company reporting: General|Displacement|Environment: General|Free prior & informed consent|Intimidation & threats|Land rights|Lawsuits & regulatory action: General|Lawsuits: Selected cases|Legal accountability: General|Mandatory Due Diligence (mHRDD)|Poverty/Development/Economic & social rights: General|Right to food|Security: General,Natural Resources: General|Oil gas & coal,,FR|TZ|UG,UNKNOWN,OPEN
RWE lawsuit (re climate change),/bhrrc/latest-news/rwe-lawsuit-re-climate-change/,,RWE,Climate change|Environment: General,Oil gas & coal,,DE|PE,UNKNOWN,OPEN
Boliden lawsuit (re Chile),/bhrrc/latest-news/boliden-lawsuit-re-chile/,,Boliden,Environment: General|Health: General (including workplace health & safety),Mining,,CL|SE,UNKNOWN,OPEN
Betagro & Thammakaset lawsuits (re labour exploitation in Thailand),/bhrrc/latest-news/betagro-thammakaset-lawsuits-re-labour-exploitation-in-thailand/,,Thammakaset 2,Denial of freedom of movement|Forced labour & modern slavery|Labour: General|Supply chains,Agriculture & livestock,,TH,UNKNOWN,CLOSED
Arab Bank lawsuit (re terrorist attacks in Israel),/bhrrc/latest-news/arab-bank-lawsuit-re-terrorist-attacks-in-israel/,,Arab Bank,Complicity|Deaths|Killings,Finance & banking,,IL|US,UNKNOWN,CLOSED
SNCF lawsuits (re Holocaust filed in France),/bhrrc/latest-news/sncf-lawsuits-re-holocaust/,,SNCF (Société Nationale des Chemins de Fer),Companies & World War II|Complicity|Genocide|Killings,Railroad,,FR,UNKNOWN,CLOSED
SNCF lawsuits (re Holocaust filed in the US),/bhrrc/latest-news/sncf-lawsuits-re-holocaust-filed-in-the-us/,,SNCF (Société Nationale des Chemins de Fer),Companies & World War II|Complicity|Genocide|Killings,Railroad,,FR|US,UNKNOWN,CLOSED
Lafarge & Suez Cement lawsuit (re air pollution Egypt),/bhrrc/latest-news/lafarge-suez-cement-lawsuit-re-air-pollution-egypt/,,HeidelbergCement|LafargeHolcim,Access to information|Environment: General|Impact assessment|Land rights|Lawsuits & regulatory action: General|Lawsuits: Selected cases,Construction,,EG,UNKNOWN,OPEN
Union Carbide/Dow lawsuit (re Bhopal filed in India),/bhrrc/latest-news/union-carbidedow-lawsuit-re-bhopal/,,Union Carbide (part of Dow),Access to water|Deaths|Environment: General|Health: General (including workplace health & safety),Chemical: General,,IN,UNKNOWN,CLOSED
Union Carbide/Dow lawsuit (re Bhopal filed in the US),/bhrrc/latest-news/union-carbidedow-lawsuit-re-bhopal-filed-in-the-us/,,Union Carbide (part of Dow),Access to water|Deaths|Environment: General|Health: General (including workplace health & safety),Chemical: General,,IN|US,UNKNOWN,CLOSED
Lawsuit to prevent newspaper inciting violence against LGBTI rights defenders (re Uganda),/bhrrc/latest-news/lawsuit-to-prevent-newspaper-inciting-violence-against-lgbti-rights-defenders-re-uganda/,,Tabloid Rolling Stone,Death threats|Killings|Lesbian gay bisexual & transgender (LGBT) people|Privacy|Sexual orientation & gender identity (LGBT) discrimination,Media & publishing: General,,UG,UNKNOWN,CLOSED
Juren Academy lawsuit (re employment gender discrimination in China),/bhrrc/latest-news/juren-academy-lawsuit-re-employment-gender-discrimination-in-china/,,Juren Academy,Gender discrimination|Labour: General,Education companies,,CN,FEMALE,CLOSED
Nestlé Cargill Archer Daniels Midland lawsuit (re Côte d'Ivoire),/bhrrc/latest-news/nestlé-cargill-archer-daniels-midland-lawsuit-re-côte-divoire-2/,,Archer Daniels Midland (ADM)|Cargill|Nestlé,Alien Tort Claims Act (USA)|Beatings & violence|Child labour|Complicity|Denial of freedom of movement|Forced labour & modern slavery|Guidelines prepared by business|Health: General (including workplace health & safety)|Human trafficking|Labour: General|Lawsuits & regulatory action: General|Legal accountability: General|Poverty/Development/Economic & social rights: General|Privacy|Reputation|Slavery|Supply chains|Surveillance|Torture & ill-treatment,Agriculture/food/beverage/tobacco/fishing: General|Agriculture & livestock|Baby food & baby milk|Chocolate & cocoa|Coffee|Diversified/Conglomerates|Food & beverage|Oil gas & coal|Technology: General|Technology telecom & electronics,Africa,CI|US,UNKNOWN,OPEN
Luliang Chemical Industry & Peace Technology lawsuit (re heavy metal pollution in China),/bhrrc/latest-news/luliang-chemical-industry-peace-technology-lawsuit-re-heavy-metal-pollution-in-china/,,Yunnan Luliang Peace Technology (part of Peace Chemical & Industry),Environment: General|Health: General (including workplace health & safety)|Illness,Chemical: General,,CN,UNKNOWN,OPEN
